taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00013_e0,-0.06588649788927375,0.0074699008681539175,cpd00013_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00054_e0,-0.018618586465952842,0.0074699008681539175,cpd00054_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00006_e0,-0.0002377857735154365,0.0074699008681539175,cpd00006_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00029_e0,0.8023562321684482,0.0074699008681539175,cpd00029_e0,export
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00239_e0,-0.00399359280789997,0.0074699008681539175,cpd00239_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00277_e0,-0.0006572293017070844,0.0074699008681539175,cpd00277_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00264_e0,-0.00023778577351543618,0.0074699008681539175,cpd00264_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00220_e0,-0.00047557154703087236,0.0074699008681539175,cpd00220_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00011_e0,0.9897149316135165,0.0074699008681539175,cpd00011_e0,export
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00039_e0,-0.01729162067577104,0.0074699008681539175,cpd00039_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00063_e0,-0.0003357832525339551,0.0074699008681539175,cpd00063_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd10516_e0,-0.0003357832525339551,0.0074699008681539175,cpd10516_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00051_e0,-0.01033119615058727,0.0074699008681539175,cpd00051_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00033_e0,-0.020495652687993776,0.0074699008681539175,cpd00033_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd10515_e0,-0.0005735690260493913,0.0074699008681539175,cpd10515_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00053_e0,-0.014656094498351568,0.0074699008681539175,cpd00053_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00058_e0,-0.0003357832525339551,0.0074699008681539175,cpd00058_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00034_e0,-0.0003357832525339551,0.0074699008681539175,cpd00034_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00030_e0,-0.0003357832525339551,0.0074699008681539175,cpd00030_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00363_e0,0.00047557154703087236,0.0074699008681539175,cpd00363_e0,export
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00149_e0,-0.0003357832525339551,0.0074699008681539175,cpd00149_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00099_e0,-0.0003357832525339551,0.0074699008681539175,cpd00099_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00060_e0,-0.0022565645451291224,0.0074699008681539175,cpd00060_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00393_e0,-0.0007133573205463086,0.0074699008681539175,cpd00393_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00003_e0,-0.00023778577351552346,0.0074699008681539175,cpd00003_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00064_e0,-0.00023778577351543618,0.0074699008681539175,cpd00064_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00009_e0,-0.06057078279130845,0.0074699008681539175,cpd00009_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00129_e0,-0.008602034083010138,0.0074699008681539175,cpd00129_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd23431_e0,-1.6222640753576965,0.0074699008681539175,cpd23431_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00066_e0,-0.00941189479820451,0.0074699008681539175,cpd00066_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00001_e0,-0.21193335651980252,0.0074699008681539175,cpd00001_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00254_e0,-0.0003357832525339551,0.0074699008681539175,cpd00254_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00065_e0,-0.0029111209492120858,0.0074699008681539175,cpd00065_e0,import
