metabolite,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction,sample_id
cpd00266_m,Carnitine-e0,161.1989,7,1,SBO:0000247,MNXM173,PHIQHXFUZVPYII-ZCFIWIBFSA-N,cpd00266,"['HMDB00062', 'HMDB01467', 'HMDB62496']","['R-ALL-164988', 'R-ALL-201023', 'R-ALL-30235', 'R-ALL-390294', 'R-ALL-549207']","['C00318', 'C00487']","['CHEBI:16347', 'CHEBI:13091', 'CHEBI:21256', 'CHEBI:6202', 'CHEBI:17126', 'CHEBI:11817', 'CHEBI:13947', 'CHEBI:20047', 'CHEBI:23038', 'CHEBI:29085', 'CHEBI:3424', 'CHEBI:39547']",crn,META:CARNITINE,EX_cpd00266_m,ERR1620289_sub
cpd08305_m,crotonobetaine-e0,143.18362,7,1,SBO:0000247,MNXM724515,GUYHPGUANSLONG-SNAWJCMRSA-N,cpd08305,,,C04114,CHEBI:17237,ctbt,META:CROTONO-BETAINE,EX_cpd08305_m,ERR1620289_sub
cpd10516_m,fe3-e0,55.845,0,0,SBO:0000247,MNXM196,VTLYFUHAOXGGBS-UHFFFAOYSA-N,cpd10516,HMDB12943,"['R-ALL-111736', 'R-ALL-912516', 'R-ALL-912519', 'R-ALL-917943', 'R-ALL-917966']",C14819,"['CHEBI:29034', 'CHEBI:13320', 'CHEBI:21130', 'CHEBI:24877', 'CHEBI:34755', 'CHEBI:49595']",fe3,META:FE+3,EX_cpd10516_m,ERR1620289_sub
cpd00067_m,H+-e0,1.00794,0,0,SBO:0000247,MNXM1,GPRLSGONYQIRFK-UHFFFAOYSA-N,cpd00067,HMDB59597,"['R-ALL-1132304', 'R-ALL-113529', 'R-ALL-1470067', 'R-ALL-156540', 'R-ALL-163953', 'R-ALL-193465', 'R-ALL-194688', 'R-ALL-2000349', 'R-ALL-2872447', 'R-ALL-351626', 'R-ALL-372511', 'R-ALL-374900', 'R-ALL-425969', 'R-ALL-425978', 'R-ALL-425999', 'R-ALL-427899', 'R-ALL-428040', 'R-ALL-428548', 'R-ALL-5668577', 'R-ALL-70106', 'R-ALL-74722']",C00080,"['CHEBI:15378', 'CHEBI:10744', 'CHEBI:13357', 'CHEBI:5584']",h,META:PROTON,EX_cpd00067_m,ERR1620289_sub
cpd00367_m,Cytidine-e0,243.21662,9,3,SBO:0000247,MNXM338,UHDGCWIWMRVCDJ-XVFCMESISA-N,cpd00367,HMDB00089,,C00475,"['CHEBI:17562', 'CHEBI:14063', 'CHEBI:23515', 'CHEBI:4053', 'CHEBI:41649', 'CHEBI:41686', 'CHEBI:41704', 'CHEBI:41709']",cytd,META:CYTIDINE,EX_cpd00367_m,ERR1620289_sub
cpd00184_m,Thymidine-e0,242.22856000000002,10,2,SBO:0000247,MNXM420,IQFYYKKMVGJFEH-XLPZGREQSA-N,cpd00184,HMDB00273,R-ALL-83928,C00214,"['CHEBI:17748', 'CHEBI:15244', 'CHEBI:19273', 'CHEBI:45782', 'CHEBI:45834', 'CHEBI:45917', 'CHEBI:45918', 'CHEBI:9579', 'CHEBI:53527']",thymd,META:THYMIDINE,EX_cpd00184_m,ERR1620289_sub
cpd00309_m,XAN-e0,152.11086,5,4,SBO:0000247,MNXM174,LRFVTYWOQMYALW-UHFFFAOYSA-N,cpd00309,HMDB00292,R-ALL-30064,C00385,"['CHEBI:15318', 'CHEBI:17712', 'CHEBI:10059', 'CHEBI:27317', 'CHEBI:46377', 'CHEBI:48517']",xan,META:XANTHINE,EX_cpd00309_m,ERR1620289_sub
cpd00311_m,Guanosine-e0,283.24072,10,5,SBO:0000247,MNXM401,NYHBQMYGNKIUIF-UUOKFMHZSA-N,cpd00311,HMDB00133,,C00387,"['CHEBI:16750', 'CHEBI:14375', 'CHEBI:24444', 'CHEBI:42840', 'CHEBI:42847', 'CHEBI:42853', 'CHEBI:471737', 'CHEBI:5564']",gsn,META:GUANOSINE,EX_cpd00311_m,ERR1620289_sub
cpd00130_m,L-Malate-e0,132.07156,4,0,SBO:0000247,MNXM98,BJEPYKJPYRNKOW-REOHCLBHSA-L,cpd00130,HMDB00156,"['R-ALL-113544', 'R-ALL-198498']",C00149,"['CHEBI:15589', 'CHEBI:11066', 'CHEBI:13140', 'CHEBI:18784', 'CHEBI:30797', 'CHEBI:18785', 'CHEBI:423']",mal__L,META:MAL,EX_cpd00130_m,ERR1620289_sub
cpd00971_m,Na+-e0,22.98977,0,0,SBO:0000247,MNXM27,FKNQFGJONOIPTF-UHFFFAOYSA-N,cpd00971,HMDB00588,"['R-ALL-2872443', 'R-ALL-2892454', 'R-ALL-425958', 'R-ALL-425971', 'R-ALL-425977', 'R-ALL-74113', 'R-ALL-83910']",C01330,"['CHEBI:29101', 'CHEBI:26717', 'CHEBI:49766', 'CHEBI:9175']",na1,META:NA+,EX_cpd00971_m,ERR1620289_sub
